,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
1712,Panic Room,48000000,Crime Drama Thriller,4547,burglar bunker housebreaking safe money,"Trapped in their New York brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced Meg Altman and her young daughter Sarah play a deadly game of cat-and-mouse with three intruders - Burnham, Raoul and Junior - during a brutal home invasion. But the room itself is the focal point because what the intruders really want is inside it.",53.043124,6.5,1267,Jodie Foster Kristen Stewart Forest Whitaker Dwight Yoakam Jared Leto,David Fincher,,['David Koepp'],,"['Conrad W. Hall', 'Darius Khondji']",['United States of America'],"['Hofflund/Polone', 'Indelible Productions']",['English']
1713,Pan's Labyrinth,19000000,Fantasy Drama War,1417,spain resistance servant anti hero fairy,"Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.",90.80940799999999,7.6,3041,Ivana Baquero Maribel Verd\u00fa Sergi L\u00f3pez Doug Jones Ariadna Gil,Guillermo del Toro,"['Bel\\u00e9n Atienza', 'Elena Manrique']",,['Javier Navarrete'],['Guillermo Navarro'],"['Spain', 'Mexico', 'United States of America']","['Estudios Picasso', 'Esperanto Filmoj', 'Tequila Gang']",['Español']
1714,Paparazzi,20000000,Action Drama Thriller,15644,independent film,A rising Hollywood actor decides to take personal revenge against a group of four persistent photographers to make them pay for almost causing a personal tragedy involving his wife and son.,9.149089,5.8,52,Cole Hauser Robin Tunney Dennis Farina Daniel Baldwin Tom Sizemore,Paul Abascal,['Louise Rosner-Meyer'],['Forry Smith'],['Brian Tyler'],['Daryn Okada'],['United States of America'],"['Icon Entertainment International', 'Icon Productions', 'Twentieth Century Fox Film Corporation']","['Español', 'English']"
1715,Paper Towns,12000000,Drama Mystery Romance,286565,friendship high school teenager classmate based on young adult novel,"Quentin Jacobsen has spent a lifetime loving the magnificently adventurous Margo Roth Spiegelman from afar. So when she cracks open a window and climbs back into his life-dressed like a ninja and summoning him for an ingenious campaign of revenge-he follows. After their all-nighter ends and a new day breaks, Q arrives at school to discover that Margo, always an enigma, has now become a mystery. But Q soon learns that there are clues-and they're for him. Urged down a disconnected path, the closer he gets, the less Q sees of the girl he thought he knew.",64.610671,6.1,1937,Nat Wolff Cara Delevingne Justice Smith Austin Abrams Halston Sage,Jake Schreier,,,['Son Lux'],['David Lanzenberg'],['United States of America'],['Fox 2000 Pictures'],['English']
1716,Paranormal Activity,15000,Horror Mystery,23827,haunting psychic entity demonic possession found footage,"After a young, middle class couple moves into a suburban 'starter' tract house, they become increasingly disturbed by a presence that may or may not be somehow demonic but is certainly most active in the middle of the night. Especially when they sleep. Or try to.",47.456823,5.9,1316,Katie Featherston Micah Sloat Mark Fredrichs Amber Armstrong Ashley Palmer,Oren Peli,['Steven Schneider'],,,['Oren Peli'],['United States of America'],"['Solana Films', 'Blumhouse Productions']",['English']
1717,Paranormal Activity 2,3000000,Horror Thriller,41436,ouija board haunting demonic possession found footage duringcreditsstinger,"Just as Dan and Kristi welcome a newborn baby into their home, a demonic presence begins terrorizing them, tearing apart their perfect world and turning it into an inescapable nightmare. Security cameras capture the torment, making every minute horrifyingly real.",22.789649,5.7,722,Katie Featherston David Bierend Brian Boland Molly Ephraim Seth Ginsberg,Tod Williams,"['Akiva Goldsman', 'Steven Schneider']",,,['Michael Simmonds'],['United States of America'],"['Solana Films', 'Blumhouse Productions', 'Paramount Pictures']",['English']
1718,Paranormal Activity 3,5000000,Horror,72571,witch sister sister relationship sequel prequel haunting,"In 1988, evil begins to terrorize young sisters Katie and Kristi for the first time when an invisible entity resides in their home.",29.15813,5.9,669,Katie Featherston Sprague Grayden Lauren Bittner Christopher Nicholas Smith Chloe Csengery,Henry Joost,,['Christopher B. Landon'],,['Magdalena G\\u00f3rka'],['United States of America'],"['Paramount Pictures', 'Room 101', 'Solana Films', 'Blumhouse Productions']",['English']
1719,Paranormal Activity 4,5000000,Horror,82990,garage poltergeist webcam imaginary friend bathtub,"It has been five years since the disappearance of Katie and Hunter, and a suburban family witness strange events in their neighborhood when a woman and a mysterious child move in.",20.326337,5.2,563,Katie Featherston Kathryn Newton Matt Shively Aiden Lovekamp Brady Allen,Henry Joost,['Christopher B. Landon'],,,['Doug Emmett'],['United States of America'],"['Blumhouse Productions', 'Solana Films', 'Room 101', 'Paramount Pictures']",['English']
1720,Paranormal Activity: The Marked Ones,5000000,Horror Thriller,227348,supernatural demon found footage,"Seventeen-year-old Jesse has been hearing terrifying sounds coming from his neighbor’s apartment, but when he turns on his camera and sets out to uncover their source, he encounters an ancient evil that won’t rest until it’s claimed his very soul.",19.984477,5.2,449,Andrew Jacobs Richard Cabral Carlos Pratts Eddie J. Fernandez Jorge Diaz,Christopher B. Landon,,['Christopher B. Landon'],,['Gonzalo Amat'],['United States of America'],"['Solana Films', 'Room 101', 'Blumhouse Productions']",['English']
1721,ParaNorman,60000000,Family Animation Adventure Comedy,77174,medium stop motion curse jock ghost,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from an curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",39.539045,6.7,789,Kodi Smit-McPhee Tucker Albrizzi Jodelle Ferland Anna Kendrick Casey Affleck,Sam Fell,,,,['Tristan Oliver'],['United States of America'],"['Focus Features', 'Laika Entertainment']",['English']
1722,Parental Guidance,25000000,Comedy,88042,,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,14.604910999999998,5.7,210,Billy Crystal Bette Midler Marisa Tomei Tom Everett Scott Bailee Madison,Andy Fickman,,,,,['United States of America'],"['Walden Media', 'Chernin Entertainment', 'Face Productions', 'Twentieth Century Fox Film Corporation', 'Dune Entertainment', 'Dune Entertainment III']",['English']
1723,"Paris, je t'aime",13000000,Drama Romance,2266,paris city portrait jazz subway new love,"Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.",10.573191,6.8,207,Steve Buscemi Natalie Portman Willem Dafoe Maggie Gyllenhaal Axel Kiener,Isabel Coixet,"['Ara Katz', 'Chad Troutwine', 'Frank Moss', 'Rafi Chaudry', 'Gilles Caussade', 'Chris Bolzli', 'Maria K\\u00f6pf']",,['Pierre Adenot'],"['Bruno Podalyd\\u00e8s', 'Christophe Paturange', 'Pascal Rabaud', 'David Quesemand', 'Pascal Marti', 'Denis Lenoir', 'Eric Guichard', 'Maxime Alexandre', 'Rain Li', 'Michel Amathieu', 'Eric Gautier', 'Jean-Claude Larrieu', 'Tetsuo Nagata', 'Michael Seresin', 'Pierre A\\u00efm', 'Frank Griebe', 'Bruno Delbonnel', 'Matthieu Poirot-Delpech']",['France'],"['Pirol Stiftung', 'Filmazure', 'Victoires International']","['普通话', 'العربية', 'Français', 'English', 'Español']"
1724,Parker,35000000,Action Crime,119283,professional thief jewel robbery,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",28.670477,5.7,1455,Jason Statham Jennifer Lopez Nick Nolte Michael Chiklis Clifton Collins Jr,Taylor Hackford,"['Marc Schaberg', 'Nick Meyer', 'Clint Kisker', 'Stratton Leopold', 'Bruce Toll', 'Brad Luff', 'Peter Schlessel']",,['David Buckley'],['James Muro'],['United States of America'],['SND'],['English']
1725,Party Monster,5000000,Comedy Drama Crime,1415,new york hotel based on novel birthday bath,"The New York club scene of the 80s and 90s was a world like no other. Into this candy-colored, mirror ball playground stepped Michael Alig, a wannabe from nowhere special. Under the watchful eye of veteran club kid James St. James, Alig quickly rose to the top... and there was no place to go but down.",4.129165,5.9,58,Seth Green Macaulay Culkin Chlo\u00eb Sevigny Diana Scarwid Marilyn Manson,Fenton Bailey,,,['James Harry'],['Teodoro Maniaci'],"['United States of America', 'Netherlands']",['ContentFilm'],['English']
1726,Patch Adams,50000000,Comedy Drama,10312,nurse hospital doctor laughter,"Meet Patch Adams, a doctor who doesn't look, act or think like any doctor you've met before. For Patch, humor is the best medicine, and he's willing to do just anything to make his patients laugh - even if it means risking his own career.",35.537397,7.0,832,Robin Williams Philip Seymour Hoffman Bob Gunton Peter Coyote Michael Jeter,Tom Shadyac,,,['Marc Shaiman'],['Phedon Papamichael'],['United States of America'],"['Bungalow 78 Productions', 'Blue Wolf', 'Farrell/Minoff', 'Universal Pictures']",['English']
1727,Pat Garrett & Billy the Kid,4638783,Western,11577,sheriff aging billy the kid lawlessness gun battle,An aging Pat Garrett is hired as a lawman on behalf of a group of wealthy New Mexico cattle barons--his sole purpose being to bring down his old friend Billy the Kid.,4.4952559999999995,7.2,65,James Coburn Kris Kristofferson Richard Jaeckel Katy Jurado Chill Wills,Sam Peckinpah,,,['Bob Dylan'],['John Coquillon'],['United States of America'],['Metro-Goldwyn-Mayer (MGM)'],['English']
1728,Patriot Games,45000000,Drama Action Thriller Crime,9869,assassination assassin repayment ira jack ryan,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",19.637704,6.3,433,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,Phillip Noyce,,,['James Horner'],['Donald McAlpine'],['United States of America'],"['Paramount Pictures', 'Mace Neufeld Productions']",['English']
1729,Patton,12000000,Drama History War,11202,general world war ii normandy biography historical figure,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination.",21.933822,7.3,323,George C. Scott Karl Malden Stephen Young Michael Strong Carey Loftin,Franklin J. Schaffner,,,['Jerry Goldsmith'],['Fred J. Koenekamp'],['United States of America'],['Twentieth Century Fox Film Corporation'],['English']
1730,Paul,40000000,Adventure Comedy Science Fiction,39513,san diego area 51 alien space craft hit with a chair shot in the knee,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",43.151268,6.5,1789,Seth Rogen Simon Pegg Nick Frost Jason Bateman Kristen Wiig,Greg Mottola,"['Liza Chasin', 'Robert Graf', 'Natascha Wharton', 'Debra Hayward']","['Simon Pegg', 'Nick Frost']",['David Arnold'],['Lawrence Sher'],"['United Kingdom', 'United States of America']","['Relativity Media', 'Universal Pictures', 'Big Talk Productions', 'Working Title Films']",['English']
